City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Rognan,NO,67.0953,15.3878,65.75,68,63,7.31,broken clouds
80,Bredasdorp,ZA,-34.5322,20.0403,49.32,93,20,5.75,few clouds
81,Fort Myers Beach,US,26.452,-81.9481,81.0,90,20,1.99,few clouds
82,Senanga,ZM,-16.1167,23.2667,50.59,34,0,5.21,clear sky
83,Atuntaqui,EC,0.3333,-78.2167,48.02,86,18,4.65,few clouds
84,Kahului,US,20.8947,-156.47,78.82,78,20,20.71,few clouds
85,High Level,CA,58.5169,-117.136,62.71,82,90,5.75,overcast clouds
86,Palma,ES,39.5694,2.6502,74.55,82,20,4.0,few clouds
87,Manado,ID,1.487,124.8455,88.57,66,40,3.44,scattered clouds
88,Pangody,RU,65.85,74.4859,77.56,43,0,6.78,clear sky
89,Hofn,IS,64.2539,-15.2082,53.01,81,100,7.0,overcast clouds
90,Kruisfontein,ZA,-34.0033,24.7314,47.95,92,0,3.89,clear sky
91,Lasa,IT,46.6166,10.7002,61.68,92,86,3.98,overcast clouds
92,Warmbad,NA,-28.45,18.7333,53.56,29,10,7.65,clear sky
93,Albany,US,42.6001,-73.9662,68.67,87,63,2.1,broken clouds
94,Artigas,UY,-30.4,-56.4667,58.87,88,0,8.66,clear sky
95,Burnie,AU,-41.0667,145.9167,53.55,64,53,10.38,broken clouds
96,Lagoa,PT,39.05,-27.9833,69.53,65,100,13.65,overcast clouds
97,Dingle,PH,10.9995,122.6711,91.35,55,100,13.53,overcast clouds
98,Salalah,OM,17.0151,54.0924,77.09,100,90,10.36,light intensity drizzle
99,Busselton,AU,-33.65,115.3333,66.04,76,28,19.19,scattered clouds
100,Winnemucca,US,40.973,-117.7357,74.1,27,1,3.44,clear sky
101,Mahebourg,MU,-20.4081,57.7,72.25,73,75,12.66,broken clouds
102,Batagay-Alyta,RU,67.8006,130.4114,68.54,35,81,5.3,broken clouds
103,Chokurdakh,RU,70.6333,147.9167,61.43,57,82,9.28,broken clouds
104,Port Blair,IN,11.6667,92.75,84.85,76,100,18.59,overcast clouds
105,Yar-Sale,RU,66.8333,70.8333,75.54,48,12,6.58,few clouds
106,Pangnirtung,CA,66.1451,-65.7125,38.88,93,100,0.83,overcast clouds
107,Chumikan,RU,54.7183,135.315,52.9,93,100,16.26,overcast clouds
108,Amparafaravola,MG,-17.5833,48.2167,57.65,85,42,4.07,scattered clouds
109,Clyde River,CA,70.4692,-68.5914,34.03,100,90,10.36,overcast clouds
110,Kutum,SD,14.2,24.6667,71.83,68,100,7.02,overcast clouds
111,Mao,ES,39.8885,4.2658,75.76,94,75,6.91,broken clouds
112,Esperance,AU,-33.8667,121.9,67.24,48,0,15.61,clear sky
113,Skjervoy,NO,70.0311,20.9714,55.51,76,56,6.6,broken clouds
114,Pyapon,MM,16.2833,95.6833,82.51,80,100,8.88,light rain
115,Barrow,US,71.2906,-156.7887,37.42,87,90,12.66,mist
116,Dwarka,IN,22.2394,68.9678,83.21,77,100,13.51,overcast clouds
117,Luocheng,CN,29.3848,104.0286,81.9,79,99,7.4,overcast clouds
118,Galle,LK,6.0367,80.217,80.06,85,100,15.64,overcast clouds
119,Kudahuvadhoo,MV,2.6708,72.8944,81.3,73,100,21.65,overcast clouds
120,Zhezkazgan,KZ,47.8043,67.7144,87.28,22,29,3.2,scattered clouds
121,Djibo,BF,14.1022,-1.6306,81.97,65,79,13.73,broken clouds
122,Roma,US,43.2128,-75.4557,74.88,88,90,0.0,light rain
123,Zhuhai,CN,22.2769,113.5678,93.78,79,40,14.97,light rain
124,Thompson,CA,55.7435,-97.8558,60.96,77,75,4.61,smoke
125,Sandorfalva,HU,46.3609,20.0989,63.14,57,1,2.71,clear sky
126,Sumbe,AO,-11.2061,13.8437,69.19,94,37,3.53,scattered clouds
127,San Jose De Guanipa,VE,8.8872,-64.1651,74.07,86,42,4.72,scattered clouds
128,Atuona,PF,-9.8,-139.0333,77.58,83,20,19.26,light rain
129,Nouadhibou,MR,20.931,-17.0347,69.78,88,0,4.61,clear sky
130,Waw,SS,7.7029,27.9953,70.07,96,100,4.5,overcast clouds
131,Zharkent,KZ,44.1628,80.0,87.55,16,75,2.86,broken clouds
132,Puerto Madryn,AR,-42.7692,-65.0385,53.33,39,100,22.77,overcast clouds
133,Half Moon Bay,US,37.4636,-122.4286,72.12,83,20,10.36,few clouds
134,Coihaique,CL,-45.5752,-72.0662,35.55,75,57,4.61,light rain
135,North Bend,US,43.4065,-124.2243,64.92,94,40,9.22,scattered clouds
136,Inhambane,MZ,-23.865,35.3833,65.23,78,0,2.93,clear sky
137,Turukhansk,RU,65.8167,87.9833,78.91,38,6,7.63,clear sky
138,Yellowknife,CA,62.456,-114.3525,66.72,68,75,4.61,broken clouds
139,Bambous Virieux,MU,-20.3428,57.7575,72.21,73,75,12.66,broken clouds
140,Dayong,CN,25.0209,118.2898,94.68,70,95,5.21,light rain
141,Mikkeli,FI,61.6886,27.2723,61.14,72,0,10.36,clear sky
142,Lorengau,PG,-2.0226,147.2712,81.34,78,77,5.32,broken clouds
143,Faanui,PF,-16.4833,-151.75,78.55,68,20,9.26,few clouds
144,Chengde,CN,40.9725,117.9361,83.32,55,36,1.23,scattered clouds
145,Wanning,CN,18.8003,110.3967,93.83,58,95,10.8,overcast clouds
146,Asfi,MA,32.2994,-9.2372,66.43,91,5,8.57,clear sky
147,Constitucion,CL,-35.3333,-72.4167,50.23,91,53,6.15,broken clouds
148,Deputatskiy,RU,69.3,139.9,60.98,38,7,4.27,clear sky
