City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
130,Waw,SS,70.07,overcast clouds,7.7029,27.9953,Universal Gab Hotel
131,Zharkent,KZ,87.55,broken clouds,44.1628,80.0,гостиница Satti
133,Half Moon Bay,US,72.12,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
136,Inhambane,MZ,65.23,clear sky,-23.865,35.3833,Oceano
137,Turukhansk,RU,78.91,clear sky,65.8167,87.9833,"ООО ""Туруханская пушнина"""
138,Yellowknife,CA,66.72,broken clouds,62.456,-114.3525,The Explorer Hotel
139,Bambous Virieux,MU,72.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
142,Lorengau,PG,81.34,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
143,Faanui,PF,78.55,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
144,Chengde,CN,83.32,scattered clouds,40.9725,117.9361,Super 8 Hotel
146,Asfi,MA,66.43,clear sky,32.2994,-9.2372,Hôtel Abda
149,Tura,IN,79.93,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
151,Kropotkin,RU,81.54,overcast clouds,45.4375,40.5756,Hotel Europe Kropotkin
153,Boguchany,RU,79.79,broken clouds,58.3814,97.4531,Uyut
155,Cockburn Town,TC,82.04,clear sky,21.4612,-71.1419,Osprey Beach Hotel
158,Faya,SA,69.91,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
159,Cayenne,GF,77.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
160,Wadi Musa,JO,79.0,clear sky,30.3222,35.4793,Petra Palace Hotel
163,Blackwater,AU,73.2,clear sky,-23.5833,148.8833,Blackwater Motor Inn
164,Padang,ID,87.85,broken clouds,-0.9492,100.3543,Mercure Padang
165,Manokwari,ID,81.68,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
167,Yanam,IN,90.0,broken clouds,16.7333,82.2167,The Regency Hotel
171,Portland,US,71.85,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
172,Hatillo,PR,80.06,few clouds,18.4863,-66.8254,Hotel Parador El Buen Cafe
174,Puerto Leguizamo,CO,69.35,clear sky,-0.1934,-74.7819,la casona de juancho
176,Torbay,CA,69.67,overcast clouds,47.6666,-52.7314,Gallows Cove
177,Proletarsk,RU,82.04,overcast clouds,46.7031,41.7192,Hotel Sprinter
